cislo_licence,ev_cislo,nazev,psc,obec,ulice,cp,okres,kraj,pocet_zdroju
310100179,22,K1 Tylex Letovice,67961,Letovice,Brněnská,,Blansko,Jihomoravský,1
310100179,23,Tišnov - kotelna K07,66601,Tišnov,Horova,945,Brno-venkov,Jihomoravský,4
310100179,24,Tišnov - kotelna K08,66601,Tišnov,U Humpolky,,Brno-venkov,Jihomoravský,2
310100179,25,Tišnov - kotelna K30,66601,Tišnov,Králova,,Brno-venkov,Jihomoravský,3
310100179,26,Tišnov - kotelna K38,66601,Tišnov,Halasova,,Brno-venkov,Jihomoravský,4
310100198,2,Plynová kotelna Holý vrch,47001,Česká Lípa,Děčínská,,Česká Lípa,Liberecký,2
310100198,3,Kotelna LOOS - Stará Lípa,47001,Česká Lípa,Liberecká,,Česká Lípa,Liberecký,3
310100198,8,Plynová kotelna Dubá,47141,Dubá,Školní,85,Česká Lípa,Liberecký,1
310100204,1,Kotelna parních kotlů,33901,Klatovy,Jateční,660,Klatovy,Plzeňský,3
310100204,2,Kotelna 63/1,33901,Klatovy,Náměstí Míru,63,Klatovy,Plzeňský,4
310100204,3,Kotelna 87/5,33901,Klatovy,Kličkova,87,Klatovy,Plzeňský,2
