cislo_licence,ev_cislo,druh,technologie,mw
110100297,2,elektrický,vodní,0.044
110100297,3,elektrický,celkový,0.06
110100297,3,elektrický,vodní,0.06
110100300,1,elektrický,celkový,6.0
110100300,1,tepelný,celkový,35.5
110100300,1,elektrický,parní,6.0
110100300,1,tepelný,parní,35.5
110100300,2,elektrický,celkový,122.0
110100300,2,tepelný,celkový,298.0
110100300,2,elektrický,parní,122.0
110100300,2,tepelný,parní,298.0
110100300,3,elektrický,celkový,2.5
110100300,3,tepelný,celkový,80.7
110100300,3,elektrický,parní,2.5
110100300,3,tepelný,parní,80.7
110100301,1,elektrický,celkový,240.0
110100301,1,tepelný,celkový,1098.0
110100301,1,elektrický,parní,240.0
110100301,1,tepelný,parní,1098.0
110100301,2,elektrický,celkový,220.0
110100301,2,tepelný,celkový,240.0
110100301,2,elektrický,parní,220.0
110100301,2,tepelný,parní,240.0
110100303,1,elektrický,celkový,0.015
110100303,1,elektrický,vodní,0.015
110100304,1,elektrický,celkový,0.136
110100304,1,elektrický,vodní,0.136
110100309,1,elektrický,celkový,0.185
110100309,1,tepelný,celkový,0.278
110100309,1,elektrický,plynový a spalovací,0.185
110100309,1,tepelný,plynový a spalovací,0.278
110100313,1,elektrický,celkový,0.022
110100313,1,elektrický,vodní,0.022
110100314,1,elektrický,celkový,0.015
110100314,1,elektrický,vodní,0.015
110100316,1,elektrický,celkový,0.225
110100316,1,elektrický,vodní,0.225
110100318,1,elektrický,celkový,0.03
110100318,1,elektrický,vodní,0.03
110100323,1,elektrický,celkový,0.022
110100323,1,tepelný,celkový,0.045
110100323,1,elektrický,plynový a spalovací,0.022
110100323,1,tepelný,plynový a spalovací,0.045
110100323,2,elektrický,celkový,0.022
110100323,2,tepelný,celkový,0.045
110100323,2,elektrický,plynový a spalovací,0.022
110100323,2,tepelný,plynový a spalovací,0.045
110100325,1,elektrický,celkový,0.63
110100325,1,tepelný,celkový,32.0
110100325,1,elektrický,parní,0.63
110100325,1,tepelný,parní,32.0
110100325,2,elektrický,celkový,0.25
110100325,2,tepelný,celkový,30.0
110100325,2,elektrický,parní,0.25
110100325,2,tepelný,parní,30.0
110100325,3,elektrický,celkový,0.729
110100325,3,elektrický,sluneční,0.729
110100325,4,elektrický,celkový,0.331
110100325,4,elektrický,sluneční,0.331
110100330,1,elektrický,celkový,0.135
110100330,1,tepelný,celkový,0.2
110100330,1,elektrický,parní,0.135
110100330,1,tepelný,parní,0.2
110100331,1,elektrický,celkový,0.04
110100331,1,elektrický,vodní,0.04
110100333,1,elektrický,celkový,1.126
110100333,1,tepelný,celkový,0.946
110100333,1,elektrický,plynový a spalovací,1.126
110100333,1,tepelný,plynový a spalovací,0.946
110100337,1,elektrický,celkový,0.015
110100337,1,elektrický,vodní,0.015
110100338,1,elektrický,celkový,0.09
110100338,1,elektrický,vodní,0.09
110100339,1,elektrický,celkový,9.75
110100339,1,elektrický,vodní,9.75
110100339,2,elektrický,celkový,2.4
110100339,2,elektrický,vodní,2.4
110100339,3,elektrický,celkový,3.0
110100339,3,elektrický,vodní,3.0
110100339,4,elektrický,celkový,2.34
110100339,4,elektrický,vodní,2.34
110100339,5,elektrický,celkový,0.75
110100339,5,elektrický,vodní,0.75
110100339,8,elektrický,celkový,3.358
110100339,8,elektrický,vodní,3.358
110100339,9,elektrický,celkový,3.528
110100339,9,elektrický,vodní,3.528
110100339,10,elektrický,celkový,2.21
110100339,10,elektrický,vodní,2.21
110100339,11,elektrický,celkový,2.6
110100339,11,elektrický,vodní,2.6
110100339,12,elektrický,celkový,4.0
110100339,12,elektrický,vodní,4.0
110100339,14,elektrický,celkový,1.998
110100339,14,elektrický,vodní,1.998
110100339,15,elektrický,celkový,0.246
110100339,15,elektrický,vodní,0.246
110100339,16,elektrický,celkový,6.496
110100339,16,elektrický,vodní,6.496
110100339,17,elektrický,celkový,3.038
110100339,17,elektrický,vodní,3.038
110100339,18,elektrický,celkový,1.91
110100339,18,elektrický,vodní,1.91
110100339,20,elektrický,celkový,0.63
110100339,20,elektrický,vodní,0.63
110100339,21,elektrický,celkový,19.5
110100339,21,elektrický,vodní,19.5
110100339,22,elektrický,celkový,4.0
110100339,22,elektrický,větrný,4.0
110100339,23,elektrický,celkový,3.802
110100339,23,elektrický,sluneční,3.802
110100339,24,elektrický,celkový,5.6
110100339,24,elektrický,sluneční,5.6
110100339,25,elektrický,celkový,2.009
110100339,25,elektrický,sluneční,2.009
110100339,26,elektrický,celkový,4.48
110100339,26,elektrický,sluneční,4.48
110100339,27,elektrický,celkový,3.013
110100339,27,elektrický,sluneční,3.013
110100339,28,elektrický,celkový,4.16
110100339,28,elektrický,větrný,4.16
110100339,29,elektrický,celkový,0.59
110100339,29,elektrický,vodní,0.59
110100339,30,elektrický,celkový,2.396
110100339,30,elektrický,sluneční,2.396
110100339,32,elektrický,celkový,16.033
110100339,32,elektrický,sluneční,16.033
110100339,33,elektrický,celkový,55.763
110100339,33,elektrický,sluneční,55.763
110100339,34,elektrický,celkový,2.134
110100339,34,elektrický,sluneční,2.134
110100339,35,elektrický,celkový,29.902
110100339,35,elektrický,sluneční,29.902
110100339,36,elektrický,celkový,0.021
110100339,36,elektrický,sluneční,0.021
110100339,37,elektrický,celkový,0.057
110100339,37,elektrický,sluneční,0.057
110100339,38,elektrický,celkový,0.831
110100339,38,elektrický,sluneční,0.831
110100340,1,elektrický,celkový,0.044
110100340,1,tepelný,celkový,0.086
110100340,1,elektrický,plynový a spalovací,0.044
110100340,1,tepelný,plynový a spalovací,0.086
