cislo_licence,druh,technologie,mw
310101752,tepelný,teplovodní,31.149
310101752,tepelný,výkon kvet,0.64
310101785,tepelný,celkový,5.817
310101785,tepelný,teplovodní,5.817
310101791,tepelný,celkový,16.0
310101791,tepelný,teplovodní,16.0
310101794,elektrický,celkový,2.438
310101794,tepelný,celkový,20.48
310101794,tepelný,parní,9.27
310101794,tepelný,teplovodní,11.21
310101794,tepelný,výkon kvet,11.54
310101797,tepelný,celkový,3.253
310101797,tepelný,teplovodní,3.253
310101801,tepelný,celkový,0.63
310101801,tepelný,teplovodní,0.63
310101806,tepelný,celkový,15.0
310101806,tepelný,teplovodní,15.0
310101816,tepelný,celkový,5.725
310101816,tepelný,teplovodní,5.725
310101820,elektrický,celkový,0.05
310101820,tepelný,celkový,0.32
310101820,tepelný,teplovodní,0.32
310101821,tepelný,celkový,2.19
310101821,tepelný,teplovodní,2.19
310101838,tepelný,celkový,0.8
310101838,tepelný,teplovodní,0.8
310101840,tepelný,celkový,0.7
310101840,tepelný,teplovodní,0.7
310101841,tepelný,celkový,16.7
310101841,tepelný,horkovodní,16.7
310101842,tepelný,celkový,31.782
310101842,tepelný,teplovodní,31.782
310101854,tepelný,celkový,2.5
310101854,tepelný,teplovodní,2.5
310101859,elektrický,celkový,23.0
310101859,tepelný,celkový,51.77
310101859,tepelný,parní,28.07
310101859,tepelný,teplovodní,23.7
310101859,tepelný,výkon kvet,28.07
310101863,tepelný,celkový,0.667
310101863,tepelný,teplovodní,0.667
310101867,tepelný,celkový,3.0
310101867,tepelný,teplovodní,3.0
310101875,tepelný,celkový,15.4
310101875,tepelný,horkovodní,11.0
310101875,tepelný,teplovodní,4.4
310101903,tepelný,celkový,4.7
310101903,tepelný,parní,4.7
310101920,tepelný,celkový,5.21
310101920,tepelný,parní,5.21
310101924,tepelný,celkový,0.46
310101924,tepelný,teplovodní,0.46
310101958,elektrický,celkový,2.108
310101958,tepelný,celkový,17.64
310101958,tepelný,parní,1.04
310101958,tepelný,teplovodní,16.6
310101958,tepelný,výkon kvet,3.06
310101966,elektrický,celkový,0.08
310101966,tepelný,celkový,8.4
310101966,tepelný,teplovodní,8.4
310101969,tepelný,celkový,2.5
310101969,tepelný,teplovodní,2.5
310101972,tepelný,celkový,18.4
310101972,tepelný,horkovodní,18.4
310101979,tepelný,celkový,0.259
310101979,tepelný,teplovodní,0.259
310101983,tepelný,celkový,2.58
310101983,tepelný,teplovodní,2.58
310101984,tepelný,celkový,33.6
310101984,tepelný,parní,33.6
310101992,tepelný,celkový,34.237
310101992,tepelný,parní,30.245
310101992,tepelný,teplovodní,3.992
310101998,tepelný,celkový,2.62
310101998,tepelný,teplovodní,2.62
310102002,elektrický,celkový,0.7
310102002,tepelný,celkový,3.3
310102002,tepelný,teplovodní,3.3
310102015,tepelný,celkový,12.0
310102015,tepelný,teplovodní,12.0
310102020,tepelný,celkový,0.861
310102020,tepelný,teplovodní,0.861
310102033,tepelný,celkový,1.8
310102033,tepelný,teplovodní,1.8
310102040,elektrický,celkový,0.112
310102040,tepelný,celkový,15.556
310102040,tepelný,parní,1.156
310102040,tepelný,horkovodní,14.4
310102040,tepelný,výkon kvet,0.2
310102049,tepelný,celkový,14.338
310102049,tepelný,teplovodní,14.338
310102083,tepelný,celkový,11.03
310102083,tepelný,teplovodní,11.03
310102116,tepelný,celkový,4.77
310102116,tepelný,teplovodní,4.77
310102142,tepelný,celkový,21.27
310102142,tepelný,horkovodní,20.37
310102142,tepelný,teplovodní,0.9
310102145,tepelný,celkový,16.0
310102145,tepelný,horkovodní,16.0
310102212,tepelný,celkový,3.0
310102212,tepelný,teplovodní,3.0
310102709,elektrický,celkový,0.506
310102709,tepelný,celkový,8.267
310102709,tepelný,teplovodní,8.267
310102709,tepelný,výkon kvet,0.667
310102735,tepelný,celkový,30.704
310102735,tepelný,teplovodní,30.704
310102741,tepelný,celkový,2.6
310102741,tepelný,parní,2.6
310102752,tepelný,celkový,13.71
310102752,tepelný,parní,13.71
310102796,elektrický,celkový,0.53
310102796,tepelný,celkový,51.391
310102796,tepelný,teplovodní,51.391
310102796,tepelný,výkon kvet,0.702
310102818,elektrický,celkový,0.5
310102818,tepelný,celkový,11.8
310102818,tepelný,parní,11.8
310102849,elektrický,celkový,22.7
310102849,tepelný,celkový,92.0
310102849,tepelný,parní,92.0
310102849,tepelný,výkon kvet,92.0
310102882,elektrický,celkový,0.305
310102882,tepelný,celkový,10.64
310102882,tepelný,teplovodní,10.64
310102886,tepelný,celkový,0.855
310102886,tepelný,teplovodní,0.855
310102890,tepelný,celkový,0.94
310102890,tepelný,teplovodní,0.94
310102894,elektrický,celkový,0.022
310102894,tepelný,celkový,15.205
310102894,tepelný,teplovodní,15.205
310102894,tepelný,výkon kvet,0.055
310102935,tepelný,celkový,74.43
